ds_index	size	processing_time	association_time
2	250k	64.7928438186646	11.761
2	250k	64.7928438186646	11.818
2	25k	7.15923380851746	11.987
2	25k	7.15923380851746	11.964
2	25k	7.15923380851746	12.04
2	25k	7.15923380851746	11.476
2	25k	7.15923380851746	11.509
2	300k	95.9042949676514	12.251
2	300k	95.9042949676514	12.002
2	300k	95.9042949676514	12.173
2	300k	95.9042949676514	11.483
2	300k	95.9042949676514	11.655
2	50k	11.2538597583771	11.888
2	50k	11.2538597583771	11.941
2	50k	11.2538597583771	12.333
2	50k	11.2538597583771	11.475
2	50k	11.2538597583771	11.225
3	100k	22.1332771778107	12.235
3	100k	22.1332771778107	11.7
3	100k	22.1332771778107	12.137
3	100k	22.1332771778107	11.894
3	100k	22.1332771778107	11.757
3	10k	3.56948399543762	11.02
3	10k	3.56948399543762	11.147
3	10k	3.56948399543762	11.196
3	10k	3.56948399543762	10.636
3	10k	3.56948399543762	10.618
3	150k	40.8284394741058	12.3
3	150k	40.8284394741058	12.364
3	150k	40.8284394741058	12.897
3	150k	40.8284394741058	12.682
3	150k	40.8284394741058	11.86
3	200k	62.1362748146057	12.303
3	200k	62.1362748146057	13.039
3	200k	62.1362748146057	12.758
3	200k	62.1362748146057	12.025
3	200k	62.1362748146057	12.541
3	250k	65.4539077281952	12.481
3	250k	65.4539077281952	12.723
3	250k	65.4539077281952	12.914
3	250k	65.4539077281952	11.985
3	250k	65.4539077281952	12.073
3	25k	7.14873242378235	11.851
3	25k	7.14873242378235	11.828
3	25k	7.14873242378235	12.15
3	25k	7.14873242378235	11.526
3	25k	7.14873242378235	11.511
3	300k	98.336318731308	12.352
3	300k	98.336318731308	11.917
3	300k	98.336318731308	12.291
3	300k	98.336318731308	11.816
3	300k	98.336318731308	11.759
3	50k	12.0736057758331	14.743
3	50k	12.0736057758331	13.668
3	50k	12.0736057758331	12.74
3	50k	12.0736057758331	11.725
3	50k	12.0736057758331	11.585
4	100k	19.6723971366882	12.239
4	100k	19.6723971366882	12.285
4	100k	19.6723971366882	12.192
4	100k	19.6723971366882	11.823
4	100k	19.6723971366882	11.852
4	10k	3.36825609207153	10.545
4	10k	3.36825609207153	10.539
4	10k	3.36825609207153	11.042
4	10k	3.36825609207153	10.76
4	10k	3.36825609207153	10.653
4	150k	41.2451066970825	12.708
