processing_time	score_time	association_time	size	ds_index
279.80813694000244	1760.06431722641	1746.6621987819672	150k	ds_4
279.80813694000244	1624.9143407344818	1708.1657931804657	150k	ds_4
279.80813694000244	1601.8859162330627	1664.5581200122833	150k	ds_4
163.9308159351349	1110.502881526947	1251.6352279186249	100k	ds_4
163.9308159351349	1159.054574251175	1235.2909865379333	100k	ds_4
163.9308159351349	1152.745661020279	1215.4366669654846	100k	ds_4
163.9308159351349	1183.9602236747742	1255.871152639389	100k	ds_4
163.9308159351349	1127.9266409873962	1227.0947706699371	100k	ds_4
80.85305738449097	564.1196763515472	628.6689417362213	50k	ds_4
80.85305738449097	567.4791090488434	627.9623374938965	50k	ds_4
80.85305738449097	558.0429227352142	616.7424597740173	50k	ds_4
80.85305738449097	563.3648488521576	597.469443321228	50k	ds_4
80.85305738449097	561.5712003707886	609.2434132099152	50k	ds_4
62.37871551513672	301.91271328926086	364.5814468860626	25k	ds_4
62.37871551513672	521.1141800880432	400.94196367263794	25k	ds_4
62.37871551513672	286.1750056743622	355.6429088115692	25k	ds_4
62.37871551513672	273.40565299987793	365.3389000892639	25k	ds_4
62.37871551513672	275.0488109588623	343.16785192489624	25k	ds_4
33.66912531852722	112.34797930717468	174.14030647277832	10k	ds_4
33.66912531852722	112.9253785610199	177.44004607200623	10k	ds_4
33.66912531852722	110.47022032737732	170.5119330883026	10k	ds_4
33.66912531852722	113.69139838218689	184.0874900817871	10k	ds_4
33.66912531852722	112.97443270683289	170.58449363708496	10k	ds_4
459.1299364566803	3277.755692958832	3264.2394227981567	300k	ds_5
459.1299364566803	3459.507344007492	3342.1108689308167	300k	ds_5
459.1299364566803	3341.6778540611267	3176.774179458618	300k	ds_5
459.1299364566803	3408.922115802765	3302.7984611988068	300k	ds_5
459.1299364566803	3597.341408729553	3341.2585039138794	300k	ds_5
411.93614768981934	2897.373851776123	2767.4668259620667	250k	ds_5
411.93614768981934	2854.173992395401	2819.0942344665527	250k	ds_5
411.93614768981934	2877.2260196208954	2799.5895380973816	250k	ds_5
411.93614768981934	2751.5550017356873	2784.8783659934998	250k	ds_5
411.93614768981934	2846.119709968567	2733.3055307865143	250k	ds_5
292.5183298587799	2243.974816083908	2317.4476964473724	200k	ds_5
292.5183298587799	2336.650053024292	2325.245041370392	200k	ds_5
292.5183298587799	2290.815043926239	2308.8044056892395	200k	ds_5
292.5183298587799	2224.334231376648	2218.3970279693604	200k	ds_5
292.5183298587799	2353.436058998108	2296.569759607315	200k	ds_5
209.68059849739075	1772.7450420856476	1731.7709593772888	150k	ds_5
209.68059849739075	1697.9169549942017	1787.0114059448242	150k	ds_5
209.68059849739075	1688.2463550567627	1727.777028799057	150k	ds_5
209.68059849739075	1668.4827013015747	1667.9810693264008	150k	ds_5
209.68059849739075	1677.57195687294	1631.923484325409	150k	ds_5
153.64883279800415	1121.5932700634003	1201.824496269226	100k	ds_5
153.64883279800415	1168.7986614704132	1222.3839790821075	100k	ds_5
153.64883279800415	1137.4042336940765	1201.1023547649384	100k	ds_5
153.64883279800415	1138.5920209884644	1198.2237043380737	100k	ds_5
153.64883279800415	1156.5768535137177	1194.8746383190155	100k	ds_5
85.59599328041077	543.6966259479523	640.9928545951843	50k	ds_5
85.59599328041077	548.8533596992493	640.8465087413788	50k	ds_5
85.59599328041077	547.3929235935211	638.4695873260498	50k	ds_5
85.59599328041077	561.7654757499695	638.8273689746857	50k	ds_5
85.59599328041077	550.3781225681305	616.4364504814148	50k	ds_5
64.25100898742676	299.716073513031	375.3536922931671	25k	ds_5
64.25100898742676	282.9677050113678	349.29206895828247	25k	ds_5
64.25100898742676	303.41167068481445	368.2090582847595	25k	ds_5
64.25100898742676	271.96721935272217	366.9342749118805	25k	ds_5
64.25100898742676	279.2609302997589	360.2026467323303	25k	ds_5
33.89508533477783	117.96745419502258	167.10567951202393	10k	ds_5
33.89508533477783	114.99624490737915	168.83482193946838	10k	ds_5
33.89508533477783	113.92273283004761	164.68942379951477	10k	ds_5
33.89508533477783	114.59025502204895	173.76188373565674	10k	ds_5
33.89508533477783	115.04096746444702	166.54380011558533	10k	ds_5
