cell_type	AF	AID	BD	BMI	Cardiovas	cd	CKD	College_edu	glucose_q	HDL_q	Hypothyroidism	ibd	insominia	LDL_q	Lymphocyte_count	MDD	Monocyte_count	Nrt_new	RA	RBC	SBP	Scz_new	Smoking	T1D	T2D_2	TG_q	uc
Heart.endocardial cell	0.375665269494818	0.999240342631483	0.852700696379475	0.97007103280041	0.127763806096635	0.996344718852645	0.673030226175232	0.999908144861116	0.34520073559021	0.394730344819317	0.999737404969129	0.9963235215326	0.938208265231618	0.220198916709432	0.992198380947985	0.922574947847364	0.83895411915694	0.95048050037329	0.731663329412919	0.992577769850564	0.000822557317488669	0.97413348323233	0.94952841508875	0.849000503860477	0.994642410171501	0.347901689679604	0.996345922805025
Heart.endothelial cell	0.156216897267024	0.993910325781276	0.991161851643173	0.985576633348428	0.00159655314461818	0.964653657096167	0.476197116912636	0.973855181719939	0.470959803692117	0.104088293969315	0.988097952908121	0.964730935522705	0.813763260782302	0.59062191135418	0.0654646473441628	0.63799170333213	0.227663051868658	0.816785951610755	0.863228120749784	0.990396467499379	6.99323091146661e-05	0.972532478655332	0.990639220005771	0.69319532206269	0.772189813983391	0.472374036177888	0.964652308244251
Heart.erythrocyte	0.964228948669359	0.999997323743594	0.959354844994522	0.17021729255328	0.903081108722024	0.995929473038023	0.271075318610573	0.0887688037924401	0.972976650363839	0.974945091280225	0.999990981280016	0.995942582313935	0.342921567886697	0.98994825592233	0.999999769613655	0.0512061158559956	0.999978820207529	0.313269733565183	0.999910298147029	0.999999733152963	0.856442351730751	0.392431038294353	0.416904506955298	0.974333765160911	0.512729968548195	0.973004817558091	0.995929424005212
Heart.fibroblast	0.546990258786277	0.999997247750335	0.992267809633517	0.91617892499726	0.481552415235605	0.999730743833246	0.619426007887729	0.999991784425107	0.937566217397232	0.998378592807253	0.999999785770139	0.999728785387046	0.93221426755022	0.993208109880626	0.999999995383811	0.928435999308764	0.999999321713663	0.983877807557764	0.994675317546364	0.999999997874053	0.000426168260700926	0.99193504362459	0.982257858105591	0.965545532797206	0.891457354984747	0.937200678262325	0.999730528251826
Heart.leukocyte	0.88259356452412	1.78262378728457e-05	0.958019902463544	0.999999529491404	0.904146018366827	9.38175590375791e-08	0.741850534803162	0.999972945161145	0.119781977890573	0.00437549032988087	1.06435386635992e-06	9.43764034061906e-08	0.949328030747179	0.0224243813051911	2.04514014614068e-07	0.999719084769842	4.45881252856405e-16	0.985057851743429	0.000185785971933038	0.138334479913984	0.99721860745595	0.995953442820903	0.999559558314488	0.00592177613407705	0.997943959018492	0.119604518833874	9.37290147858719e-08
Heart.myofibroblast cell	0.0592686346485565	0.998866157223456	0.94292960240088	0.0958453054568783	2.54733901489069e-06	0.99968040003822	0.0171424524141456	0.775864551135521	0.0407666604930369	0.184566817131212	0.983439901054926	0.999681463366472	0.113049980255145	0.644292780556484	0.542407852513073	0.57338354932601	0.202997873000616	0.658187379467904	0.977453108443127	0.99171718281373	6.68869751345004e-14	0.943728067251924	0.558069984004152	0.97221215121634	0.899569005089546	0.0414339960344462	0.999680377090231
Heart.professional antigen presenting cell	0.871898357375345	1.69933817946005e-11	0.87370874196435	0.959328708183278	0.978067454671537	1.25431626427931e-08	0.985432481505121	0.91947730684373	0.550590059894009	0.422718612304189	9.51588903096212e-18	1.28247520373225e-08	0.844745365862601	0.477682868036422	1.10403613835537e-07	0.73304051333199	2.85750326646302e-05	0.927542135223522	2.99906534420562e-08	0.693837491226079	0.999615226401096	0.720662064480315	0.93717945185375	8.48468399842684e-06	0.853228313170614	0.547619251235201	1.25351890033785e-08
Heart.smooth muscle cell	6.65531776319591e-05	0.999202070580405	0.493344278339753	0.0171316801597154	2.36314515528856e-07	0.998843264889433	0.00291578996893955	0.280448768983616	0.110982103196515	0.160707898676431	0.992732757174788	0.998838736028049	0.00757588587878164	0.855017064635492	0.91250197764589	0.808905097002695	0.831161818868887	0.590736182145355	0.991320066384811	0.970813876935841	4.71564517540437e-13	0.891715017473854	0.410676093826627	0.996988837453812	0.86206484607856	0.112492334430644	0.998843010268487
Kidney.endothelial cell	0.318021525370348	0.864701030804783	0.976218081696685	0.975099338112534	0.00215616904361339	0.827054682012886	0.469728121734335	0.999359560210618	0.51091172148371	0.229086599306986	0.923798614044097	0.827356072047026	0.792861540884984	0.393780487997075	0.106266222305025	0.690372837619013	0.252463593469087	0.69257766254441	0.249511424278422	0.999243084614047	8.77234000690903e-07	0.896298510114399	0.897540608085906	0.507814047575111	0.968421276673102	0.512398158228188	0.827047903726349
Kidney.epithelial cell of proximal tubule	0.790304433265235	0.839325624069307	0.806346162430014	0.999045910037991	0.893685439906425	0.796284195533744	0.00551204106386597	0.99840403374271	0.246341613826997	0.801192342779849	0.961257753240077	0.796484688941882	0.796305510403689	0.269156721298058	0.986818643055913	0.863178545329215	0.759757958033245	0.971280830673831	0.95396353082396	0.8743678158198	0.988662152310879	0.892804257872837	0.995039068671849	0.770817984549918	0.803138915294222	0.24769104161987	0.796282992758957
Kidney.kidney collecting duct epithelial cell	0.896498529709261	0.513525136212862	0.683516314292826	0.493760264978891	0.0321506485634486	0.995121944052187	3.41607756444188e-06	0.945736299498415	0.889845524193135	0.954827787635194	0.866930060714331	0.995127183043313	0.596491128641673	0.594036773387773	0.962406835546619	0.825463486393538	0.955099080927793	0.966066259192538	0.943984342360452	0.935175629439806	0.0566201822249256	0.811198823563403	0.933360906057638	0.886605551466832	0.499828905321791	0.890334715224156	0.995121959811862
Kidney.macrophage	0.831168716605734	4.71905741727334e-06	0.91786475286709	0.999972056212988	0.893980366082291	1.8620038071618e-15	0.527126886273991	0.999286615589954	0.232812903051396	0.071409173715308	1.59029050665581e-08	1.85476464472581e-15	0.879687526049026	0.242202290061388	2.37334984207011e-07	0.950819336436713	3.57898321497014e-17	0.899028212001014	2.67150257648196e-05	0.192273484200467	0.99985674501955	0.993393379416014	0.998096145849165	3.37954492436965e-05	0.976284147901794	0.232686321096115	1.85805876325683e-15
Large_Intestine.Chromaffin Cell	0.641126715956699	0.970611272306062	0.0824662519035682	1.57310594004622e-06	0.00872428747880977	0.996902701371351	0.161074851399744	0.000341595535192052	0.394724457624446	0.690198092674082	0.999229581399787	0.996856229534847	0.426279609408231	0.551632076462934	0.999896434318018	0.00570442185002516	0.999959082358142	0.00417300881525448	0.999375179183871	0.999448449191657	0.302840019540486	0.00633637704328713	0.0516639345999726	0.910776133336264	0.0413573173985745	0.397228099508625	0.996902388446412
Large_Intestine.Enterocyte (Distal)	0.957178525866401	0.559659028694685	0.561176228575115	0.999974690066487	0.754011371662759	0.780777079369191	0.570112135724051	0.98105093792585	0.845405391023617	0.938111877264046	0.975571642684315	0.781287699232546	0.994811836618066	0.0112231472199836	0.839449902877583	0.999842501272588	0.901980098105586	0.999755220175452	0.94950015020625	0.222899882133969	0.60105063034263	0.968280204188073	0.884476458274295	0.724739284323467	0.971791480078079	0.846188672585112	0.7807889396056
Large_Intestine.Enterocyte (Proximal)	0.905121918167474	0.383931999327961	0.58635741223147	0.995049338348262	0.528764751466688	0.580181451820555	0.648548144690414	0.891851772821702	0.142251342966877	0.290795651164473	0.881667486170914	0.579851724820342	0.991979596940216	3.63128649155007e-06	0.610278487853547	0.997882128521926	0.673785693932871	0.99724920795865	0.934311440281821	0.00991946042156562	0.703925183043024	0.7471611543958	0.959353112546267	0.532133567418474	0.668872040433976	0.143260395367702	0.58019863956826
Large_Intestine.Goblet cell (Distal)	0.938347575715566	0.693886103412593	0.521240040871615	0.974036984915423	0.878134430457831	0.995225036118796	0.383153061299431	0.991676563825856	0.243506229732363	0.236290277996554	0.976323457715214	0.995228734417247	0.797279743198293	0.00188496057301592	0.996328589152361	0.999933631822	0.994073320849288	0.988391865921145	0.852256589470511	0.020242076219406	0.926748728275952	0.892714990628207	0.90615102992171	0.626431883847536	0.449971066088643	0.245060560509665	0.995226033475136
